feature,family,mi_logvol,mi_trend,mi_sign,xgb_logvol,xgb_trend,xgb_sign,combo_vol,combo_trend,combo_sign
bipower_var,jump/tail,0.09295974778242755,0.0,0.004929618287225379,0.2810004223105043,0.06838616989982543,0.06714916913324674,0.026121728384740108,0.0,0.0003310197721312431
ou_sigma2,SDE params,0.07750186460808006,0.00037543284764662843,0.0005123324624547454,0.27622920018025043,0.06893691908810806,0.0679090401923773,0.021408278073168013,2.5881183841233627e-05,3.479200578469894e-05
sig_tp,path signature,0.06904503364668191,0.0,0.0033687936937965013,0.12075972208743112,0.06648107489344277,0.09272426714834985,0.008337859074690639,0.0,0.00031236892643126307
sig_pp,path signature,0.04127437607582429,0.006327592770330348,0.00043869654062822505,0.027414809370287,0.06849983790435205,0.06523727781255612,0.0011315291519962574,0.00043343907909237873,2.861936809637083e-05
sig_p,path signature,0.051932693746402414,0.005493612340609744,0.004524256410474381,0.017366998822356004,0.06707605979019797,0.05773508096580458,0.0009019150311355457,0.0003684898698229086,0.0002612083101687988
ou_kappa,SDE params,0.01204447704396916,0.00164156460594711,0.006270733251627192,0.0645019781756822,0.06723716592561023,0.06767084582464318,0.0007768925954276041,0.0001103741517876748,0.00042434582307832714
hurst_rs,rough/fractal,0.00996990901163386,0.0,0.0017865449574760994,0.014356347820247636,0.06607052164141744,0.06548211629725108,0.00014313148150723703,0.0,0.00011698674467571742
sig_pt,path signature,0.004011661142993894,0.007662859727068039,0.0,0.034489535889432224,0.06711461929489909,0.06952268280341901,0.0001383603309675286,0.0005142899132923858,0.0
semivar_skew,jump/tail,0.004916820759365947,0.0025367601916217453,0.0,0.021697856396991445,0.06721187488455875,0.06760191752545115,0.00010668447076646876,0.00017050040861141003,0.0
perm_ent_5,information,0.0019483941502196345,0.0,0.0,0.01248433809475083,0.06785854831835177,0.06399725453181243,2.4324411313176653e-05,0.0,0.0
perm_ent_3,information,0.0009209052099574677,0.0,0.0028910270891218115,0.012224470958463012,0.06682792152881271,0.06484661180707914,1.1257578994622347e-05,0.0,0.0001874733113720321
hawkes_eta,self-excitation,0.0,0.0,0.0,0.0418472160696549,0.0682248298796302,0.06371663265941573,0.0,0.0,0.0
jump_fraction,jump/tail,0.0,0.0,0.0,0.03455196252514155,0.06651339147355212,0.06627133346751389,0.0,0.0,0.0
hurst_dfa,rough/fractal,0.0,0.0,0.0026962509051233763,0.02222850066853436,0.0663386570517472,0.06246141417723998,0.0,0.0,0.00016841164451066937
jump_intensity,jump/tail,0.0,0.0,0.0010151241939209132,0.018846640630272953,0.057222408425494205,0.05767435565383983,0.0,0.0,5.8546633793012225e-05
