rule,n,wr,pf,ev_R,n_long,long_wr,n_short,short_wr
06_order_block,17,0.35294117647058826,1.6363636350991737,0.8235294117647061,11,0.36363636363636365,6,0.3333333333333333
10_asian_break,550,0.23272727272727273,0.9099526060420925,-0.13818181818181818,339,0.2153392330383481,211,0.26066350710900477
14_h4_gated_breakout,5111,0.22402660927411466,0.8661119510304213,-0.2077871258070827,3268,0.22093023255813954,1843,0.22951709169831797
08_vov_compression,2531,0.22323192414065587,0.8621566627207227,-0.214144606874753,1204,0.23338870431893688,1327,0.21401657874905802
03_delta_divergence,5108,0.19968676585747847,0.7485322891605304,-0.4025058731401723,2516,0.212241653418124,2592,0.1875
13_m5_h1_divergence,4538,0.1877479065667695,0.6934346170446546,-0.4980167474658439,2088,0.2021072796934866,2450,0.17551020408163265
05_fvg_fill,1823,0.1870543060888645,0.6902834003851597,-0.503565551289084,1007,0.19761668321747766,816,0.17401960784313725
01_absorption,1137,0.1864555848724714,0.6875675671449922,-0.5083553210202287,632,0.17721518987341772,505,0.19801980198019803
04_liquidity_sweep,5793,0.17538408423959953,0.638057357787705,-0.5969273260832038,2762,0.166183924692252,3031,0.18376773342131308
07_return_z_tail,4112,0.15248054474708173,0.5397417500402557,-0.7801556420233462,2047,0.14704445530043966,2065,0.15786924939467312
09_autocorr_flip,270,0.14814814814814814,0.5217391301285443,-0.8148148148148149,127,0.14960629921259844,143,0.14685314685314685
12_friday_close_fade,697,0.12195121951219512,0.4166666664293981,-1.024390243902439,93,0.0,604,0.14072847682119205
