feature,coef
dxy_ret_20d,-0.7109321255384349
spx_dist_sma50_z,0.4720130993082248
dxy_ret_1d,-0.3723660846860446
vix_level_z60,0.3663017645094956
dxy_dist_sma50_z,0.3605997363771979
corr_xau_dxy_20d,-0.3417358168054893
tnx_chg_5d,-0.32907279753736596
spx_ret_5d,0.3286381844989979
dxy_ret_5d,0.2754302473039738
vix_level,0.256957177471589
vix_chg_1d,-0.22011874575563506
spx_ret_1d,-0.1982793948891318
tnx_level,-0.08745933017013927
tnx_level_z60,0.08557406819461633
spx_ret_20d,-0.08092738105399432
corr_xau_spx_20d,0.04437165255179969
tnx_chg_1d,0.03759686709942632
corr_xau_vix_20d,0.006953008657621571
