guard_R,n,WR,PF,R,DD,ΔWR_pp,ΔPF,ΔR,fired_pct
0.5,2439,0.8647,0.766,-322.6,-380.0,31.5,-1.07,-3620.4,0.863
0.75,2439,0.8344,0.926,-121.8,-227.9,28.5,-0.91,-3419.7,0.831
1.0,2439,0.8065,1.045,83.7,-127.8,25.7,-0.79,-3214.2,0.8
1.25,2439,0.7765,1.09,194.1,-114.3,22.7,-0.75,-3103.8,0.762
1.5,2439,0.7511,1.147,345.1,-109.1,20.2,-0.69,-2952.8,0.728
1.75,2439,0.7257,1.188,476.6,-103.5,17.6,-0.65,-2821.3,0.696
2.0,2439,0.6999,1.183,506.6,-107.6,15.0,-0.66,-2791.3,0.654
2.5,2439,0.6654,1.232,713.0,-91.1,11.6,-0.61,-2584.9,0.599
3.0,2439,0.6355,1.283,923.0,-83.3,8.6,-0.55,-2374.9,0.535
